		PEN Distance(cancer genes)	PEN Distance(other genes)	PEN-diff	Distance(cancer genes)	Distance(other genes)	Distance-diff	ppr(cancer genes)	ppr(other genes)	ppr-diff
GCLC	XRCC1	10.737472222222223	11.332110780017802	0.5946385577955784	3.0	1.722809335094672	-1.277190664905328	0.00031496523178068335	0.00026088404606092034	-5.4081185719763013e-05
GCLC	TP73	6.966183333333333	8.486308501314646	1.5201251679813126	2.5	3.2743284896521354	0.7743284896521354	0.0010993967865644	0.00042367636404779934	-0.0006757204225166008
GCLC	SOX10	10.737472222222223	11.332110780017802	0.5946385577955784	3.0	1.722809335094672	-1.277190664905328	0.00031496523178068335	0.00026088404606092034	-5.4081185719763013e-05
GCLC	EIF3A	10.737472222222223	11.332110780017802	0.5946385577955784	3.0	1.722809335094672	-1.277190664905328	0.00031496523178068335	0.00026088404606092034	-5.4081185719763013e-05
GCLC	ACSS2	9.03006111111111	10.318749320771246	1.2886882096601369	3.625	4.291061206516953	0.6660612065169529	0.0006196786569546167	0.0004343688010122058	-0.0001853098559424109
GCLC	ERCC1	10.737472222222223	11.332110780017802	0.5946385577955784	3.0	1.722809335094672	-1.277190664905328	0.00031496523178068335	0.00026088404606092034	-5.4081185719763013e-05
GCLC	MAP3K1	7.315988888888889	8.431658041191938	1.1156691523030489	2.625	3.142888595332453	0.5178885953324528	0.0007134256839594556	0.0004334672064281355	-0.00027995847753132017
GCLC	HLA-C	7.862622222222223	9.045235517090275	1.1826132948680517	3.1875	3.703002997066503	0.5155029970665028	0.0006612439420705263	0.0004341380926449131	-0.00022710584942561325
GCLC	DSCAM	10.737472222222223	11.332110780017802	0.5946385577955784	3.0	1.722809335094672	-1.277190664905328	0.00031496523178068335	0.00026088404606092034	-5.4081185719763013e-05
GCLC	MAD1L1	9.016211111111112	10.269786305872033	1.2535751947609217	3.8125	4.2756494936151475	0.46314949361514746	0.0004714566800465892	0.00043492577982115704	-3.653090022543218e-05
GCLC	SMAD4	7.322477777777777	8.46159491673971	1.1391171389619323	2.75	3.197269925143109	0.44726992514310915	0.0009328108944692	0.00043167046163504745	-0.0005011404328341526
GCLC	SERPINA5	8.42935	9.592202563540756	1.1628525635407563	3.1875	3.6717305151915456	0.4842305151915456	0.0005593274235231945	0.0004346249449136162	-0.00012470247860957827
GCLC	ETS2	8.353666666666667	9.607862620508339	1.2541959538416716	3.0625	3.5180537208278295	0.4555537208278295	0.001200062573735652	0.0004316670929503339	-0.0007683954807853182
GCLC	NF2	8.42006111111111	9.586923641542509	1.1668625304313984	3.0625	3.4401144870101277	0.3776144870101277	0.0006281574929349944	0.0004336102465283743	-0.00019454724640662014
GCLC	ERCC2	7.676361111111111	8.884428067484663	1.2080669563735515	3.0	3.6422280933509468	0.6422280933509468	0.0006419572062846744	0.0004183956379895362	-0.0002235615682951382
GCLC	CDSN	10.737472222222223	11.332110780017802	0.5946385577955784	3.0	1.722809335094672	-1.277190664905328	0.00031496523178068335	0.00026088404606092034	-5.4081185719763013e-05
GCLC	BARD1	8.580749999999998	9.921112291849255	1.3403622918492566	3.125	3.710920299427565	0.5859202994275652	0.0007536635622360885	0.00043360200164706524	-0.0003200615605890233
GCLC	RNF8	8.954366666666665	10.304384224364595	1.3500175576979299	3.3125	4.002421840598855	0.6899218405988554	0.0006740869038483832	0.00043349726689104683	-0.0002405896369573364
GCLC	GSR	10.737472222222223	11.332110780017802	0.5946385577955784	3.0	1.722809335094672	-1.277190664905328	0.00031496523178068335	0.00026088404606092034	-5.4081185719763013e-05
XRCC1	TP73	8.74161111111111	9.667097721297388	0.9254866101862778	2.0	1.5515191545574636	-0.4484808454425364	0.0007844315547837167	0.00025043473691764145	-0.0005339968178660753
XRCC1	SOX10	12.5129	12.512900000000544	5.435651928564766e-13		0.0		0.0	8.764241893076249e-05	8.764241893076249e-05
XRCC1	EIF3A	12.5129	12.512900000000544	5.435651928564766e-13		0.0		0.0	8.764241893076249e-05	8.764241893076249e-05
XRCC1	ACSS2	10.805488888888888	11.499538540753989	0.6940496518651003	4.25	2.568251871422281	-1.681748128577719	0.00030471342517393335	0.0002611271738820479	-4.358625129188544e-05
XRCC1	ERCC1	12.5129	12.512900000000544	5.435651928564766e-13		0.0		0.0	8.764241893076249e-05	8.764241893076249e-05
XRCC1	MAP3K1	9.091416666666667	9.61244726117468	0.5210305945080123	2.25	1.4200792602377807	-0.8299207397622193	0.00039846045217877224	0.0002602255792979776	-0.00013823487288079465
XRCC1	HLA-C	9.63805	10.226024737073017	0.5879747370730168	3.375	1.980193661971831	-1.394806338028169	0.00034627871028984305	0.0002608964655147552	-8.538224477508784e-05
XRCC1	DSCAM	12.5129	12.512900000000544	5.435651928564766e-13		0.0		0.0	8.764241893076249e-05	8.764241893076249e-05
XRCC1	MAD1L1	10.79163888888889	11.450575525854775	0.6589366369658851	4.625	2.5528401585204756	-2.0721598414795244	0.0001564914482659059	0.00026168415269099915	0.00010519270442509325
XRCC1	SMAD4	9.097905555555556	9.642384136722452	0.5444785811668957	2.5	1.4744605900484369	-1.0255394099515631	0.0006178456626885167	0.00025842883450488956	-0.00035941682818362714
XRCC1	SERPINA5	10.204777777777778	10.772991783523498	0.5682140057457197	3.375	1.9489211800968735	-1.4260788199031265	0.0002443621917425111	0.0002613833177834583	1.7021126040947195e-05
XRCC1	ETS2	10.129094444444444	10.788651840491081	0.6595573960466368	3.125	1.7952443857331573	-1.3297556142668427	0.0008850973419549687	0.00025842546582017606	-0.0006266718761347926
XRCC1	NF2	10.195488888888889	10.76771286152525	0.5722239726363618	3.125	1.7173051519154559	-1.4076948480845441	0.0003131922611543111	0.0002603686193982164	-5.282364175609468e-05
XRCC1	ERCC2	9.451788888888888	10.065217287467405	0.6134283985785167	3.0	1.9194187582562747	-1.0805812417437253	0.00032699197450399107	0.00024515401085937837	-8.18379636446127e-05
XRCC1	CDSN	12.5129	12.512900000000544	5.435651928564766e-13		0.0		0.0	8.764241893076249e-05	8.764241893076249e-05
XRCC1	BARD1	10.356177777777777	11.101901511831997	0.74572373405422	3.25	1.988110964332893	-1.261889035667107	0.00043869833045540523	0.0002603603745169074	-0.00017833795593849783
XRCC1	RNF8	10.729794444444444	11.485173444347337	0.7553789999028933	3.625	2.279612505504183	-1.3453874944958168	0.00035912167206769995	0.000260255639760889	-9.886603230681095e-05
XRCC1	GSR	12.5129	12.512900000000544	5.435651928564766e-13		0.0		0.0	8.764241893076249e-05	8.764241893076249e-05
TP73	SOX10	8.74161111111111	9.667097721297388	0.9254866101862778	2.0	1.5515191545574636	-0.4484808454425364	0.0007844315547837167	0.00025043473691764145	-0.0005339968178660753
TP73	EIF3A	8.74161111111111	9.667097721297388	0.9254866101862778	2.0	1.5515191545574636	-0.4484808454425364	0.0007844315547837167	0.00025043473691764145	-0.0005339968178660753
TP73	ACSS2	7.0341999999999985	8.653736262050833	1.6195362620508345	3.125	4.119771025979745	0.9947710259797446	0.00108914497995765	0.0004239194918689269	-0.0006652254880887231
TP73	ERCC1	8.74161111111111	9.667097721297388	0.9254866101862778	2.0	1.5515191545574636	-0.4484808454425364	0.0007844315547837167	0.00025043473691764145	-0.0005339968178660753
TP73	MAP3K1	5.320127777777778	6.766644982471524	1.4465172046937465	2.125	2.9715984147952446	0.8465984147952446	0.001182892006962489	0.0004230178972848566	-0.0007598741096776324
